#Diffusion Coefficient in µm^2/s; Linear fit performed on the 4 first points of trajectories > 8 points
#Pixel size= .106µm ; Frame rate= .02sec
ROI	Trace	D(µm²/s)	MSD(0)	MSE
 1	 79	 .126752720695158	 2.17317431600649E-02	 .985989781544104
 1	 80	 8.53253045927868E-02	 4.46811257227964E-03	 .983502430167348
 1	 81	 9.49223595245155E-02	 6.77731483168913E-04	 .996246798810497
 1	 83	 2.59623096801493E-02	 6.43845447791345E-04	 .991490395662717
 1	 85	 .327627819769024	 4.04431806363363E-04	 .983598818102512
 1	 86	 .289809543802906	 6.58705956212578E-03	 .919791646036538
 1	 87	 .333912486471028	-1.29966219879431E-02	 .982764907425188
 1	 88	 .003779904142015	 3.31659826786876E-03	 .860525777436485
 1	 89	 4.73576595563116E-05	 2.57781311782783E-03	 3.98817912352177E-04
 1	 90	 1.47940792332526E-02	 2.63144033793366E-03	 .893241857614196
 1	 91	 .281815242508492	 1.12899306048214E-02	 .998032205770393
 1	 92	 1.19243586651346E-02	 2.55233945038484E-03	 .954665992882894
 1	 93	 9.80044724585811E-03	 1.58674975896305E-03	 .731715253072219
 1	 94	 .311059356837955	-4.03886754602985E-03	 .994764601395635
 1	 95	 5.31989138045132E-02	 1.63295502837147E-02	 .320405215585916
 1	 96	 .11033426527437	 9.85827810304443E-03	 .989004325386445
 1	 97	 .129302575101071	 4.75303900900009E-03	 .994115777320913
 1	 98	 3.39075367665505E-02	 2.85372420045327E-03	 .998506928740449
 1	 99	 7.60923438960473E-02	 1.19603865927332E-02	 .863026965136563
 1	 100	 .123167867299483	 1.56231749136859E-02	 .792560837777663
 1	 101	 .175944116382079	-1.16259619696443E-03	 .999520105853541
 1	 102	 .246985910284626	-3.52654166833631E-03	 .98996373689461
 1	 103	 4.13681024079642E-03	 .001796713575888	 .970999770749041
 1	 104	 .00001	 9.15363378847161E-03	 .321661470703371
 1	 105	 2.76690126800887E-02	 1.83406366003282E-03	 .925837556547626
 1	 106	 .14272581214402	 7.15894655514795E-04	 .987327712477684
 1	 107	 1.10697663515145	-5.47410828740013E-02	 .966129968565258
 1	 108	 .158333155521484	 2.34489875061916E-03	 .989624507163776
 1	 109	 .028961340198719	 9.56506140162099E-04	 .974802825580957
 1	 110	 .292201323269458	-2.90843553792211E-03	 .96446779216142
 1	 111	 2.8523111563135E-04	 1.16170971061858E-03	 1.18756026393687E-02
 1	 112	 .265320140115596	-2.70458177945198E-03	 .998285682113663
 1	 113	 .37126078356546	 9.62167866047592E-03	 .934435611935586
 1	 114	 .313724798152272	-7.2888491787113E-03	 .994848307673346
 1	 115	 7.44536010792288E-02	 4.09401130499127E-03	 .999087402805356
 1	 116	 .223826804316045	 6.52991740114608E-03	 .998396502335887
 1	 117	 .450275923337947	-2.59345852502674E-02	 .97693653764676
 1	 118	 .077155850515103	 2.85226510468494E-02	 .433808179876769
 1	 119	 .138668380254587	-3.26273582024217E-03	 .998800182776618
 1	 120	 .00001	 1.22560444970127E-02	 .928580908411307
 1	 121	 .27269166541501	 1.21215600336694E-03	 .988286885520642
 1	 122	 2.49980356695314E-03	 4.1642672087492E-03	 .217427167313809
 1	 123	 1.2756930467052E-03	 7.72153598165187E-04	 .756480418640219
 1	 124	 .303440954583033	 1.13255274172413E-02	 .848570714186416
 1	 125	 .00001	 4.14218548401369E-02	 2.93220115518114E-04
 1	 126	 8.24502128738442E-03	 2.89775112206459E-03	 .982184975782067
 1	 127	 .29968640071954	-8.2603983060049E-03	 .990860260227942
 1	 128	 5.90067636191671E-02	 3.20915443974653E-03	 .951668117026982
 1	 129	 3.76687393380517E-02	 4.20632411989198E-03	 .908081143187994
 1	 130	 2.61314346494995E-02	 4.2900900254868E-03	 .964909327054455
 1	 131	 .130509780526477	-2.26333253167611E-03	 .999870600690196
 1	 132	 5.74989643760515E-04	 3.69462184902096E-03	 3.01313541450952E-03
 1	 133	 3.69707670242243E-02	 9.69819794152508E-04	 .960601634676931
 1	 134	 .00001	 .005629649742806	 5.57910384210396E-03
 1	 135	 4.98158020508948E-02	 8.04117333522157E-03	 .9692515784647
 1	 136	 .166236778170118	 6.45331296630524E-03	 .922714016524767
 1	 137	 .108983468121695	-4.95122611400143E-03	 .950305874631642
 1	 138	 .219512192558386	 9.56733540649241E-03	 .966709543535192
 1	 139	 .188188770726283	 3.15045849635465E-04	 .996784371863259
 1	 140	 .200501496167137	-1.22714410335704E-03	 .996582144412472
 1	 141	 7.17009032512306E-03	 9.4921708663146E-03	 6.37985872938761E-02
 1	 142	 4.64197344562289E-02	 8.50151227036205E-03	 .841682179633597
 1	 143	 7.59340813517492E-02	 4.29883279062157E-04	 .973323724850784
 1	 144	 1.29529725544953E-02	 5.82928764452958E-03	 .377094957994989
 1	 145	 3.3326533199459E-03	 2.32769366633586E-03	 .142981945382286
 1	 146	 5.17925704754034E-03	 2.34149890455638E-03	 .946062085104871
 1	 147	 4.33411913308837E-02	 6.23672721176262E-03	 .862277464844468
 1	 148	 .364664233721933	-2.06743889894643E-02	 .994363766370132
 1	 149	 .134943807137066	-5.45432919643394E-05	 .995594955637978
 1	 150	 .100431626180036	 1.63189957546325E-02	 .928335394548736
 1	 151	 2.37785561651386E-02	 9.65523693834417E-03	 .76290401380211
 1	 152	 6.44409790525041E-02	 1.32689224917065E-02	 .850796449641214
 1	 153	 .024144305582736	 8.36418952275527E-03	 .747369557628805
 1	 154	 6.31133030563153E-02	-1.34603191296461E-04	 .974073854896585
 1	 155	 5.57828929385592E-04	 2.19915711898556E-03	 1.01204154099972E-02
 1	 156	 .296250727276027	 2.93691326900715E-02	 .86732157689599
 1	 157	 9.22278962948834E-02	 5.64569319525729E-03	 .933456752213251
 1	 158	 .16145937264217	 3.48113247975396E-03	 .975741664453531
 1	 159	 .434377273710795	-2.20384530931834E-02	 .986445061461783
